Year,District,Crime Category,Number of Cases,"Crime Rate per 100,000",Crime Severity,Crime Time,Crime Location,Weather Condition,Unemployment Rate (%),Poverty Level (%),Festival/Event,Population Density (per km²),Literacy Rate (%),Crime Hotspot,Repeat Offenses
2019,Dindigul,Burglary,315,10.86,Low,Afternoon,Rural Area,Rainy,4.89,16.63,Pongal,11071,81.74,No,1
2020,Villupuram,Assault,625,36.76,Medium,Afternoon,Urban Area,Rainy,4.85,24.4,Pongal,7431,89.07,No,1
2021,Erode,Kidnapping,1160,21.48,High,Afternoon,Residential Area,Sunny,5.96,25.87,Independence Day,1767,84.14,No,1
2019,Ariyalur,Robbery,728,10.4,Medium,Morning,Residential Area,Cloudy,3.84,12.58,No Event,5462,93.38,No,1
2019,Perambalur,Kidnapping,915,10.4,High,Morning,Urban Area,Cloudy,3.71,12.77,Diwali,6598,84.3,No,1
2020,Karur,Burglary,689,26.5,Medium,Morning,Urban Area,Sunny,9.64,19.14,Temple Festival,9195,72.42,No,1
2021,Ariyalur,Fraud,745,24.03,Medium,Evening,Urban Area,Stormy,9.93,23.71,Pongal,4323,67.22,No,1
2019,Chennai,Kidnapping,478,7.71,Medium,Afternoon,Commercial Area,Foggy,11.63,28.95,Pongal,14876,86.01,No,1
2019,Pudukkottai,Assault,307,4.87,Low,Morning,Highway,Cloudy,4.55,15.95,Diwali,7656,79.05,No,1
2021,Krishnagiri,Cyber Crime,756,15.43,Medium,Afternoon,Urban Area,Cloudy,7.38,10.92,Temple Festival,11928,76.42,No,1
2019,Erode,Kidnapping,283,23.58,Low,Afternoon,Industrial Zone,Stormy,3.92,30.19,Pongal,12847,92.39,No,1
2021,Ramanathapuram,Fraud,382,6.06,Low,Evening,Highway,Sunny,4.59,23.9,Temple Festival,1486,82.44,No,1
2020,Karur,Murder,771,16.76,Medium,Morning,Commercial Area,Cloudy,7.25,25.76,Pongal,14140,82.65,No,1
2020,Tiruvarur,Fraud,853,11.08,High,Evening,Highway,Rainy,10.03,22.76,Temple Festival,10155,73.05,No,1
2021,Cuddalore,Domestic Violence,266,3.5,Low,Morning,Residential Area,Foggy,5.22,20.15,Pongal,1235,94.49,No,1
2021,Nagapattinam,Cyber Crime,802,21.11,High,Morning,Commercial Area,Cloudy,3.06,30.26,Temple Festival,1384,91.23,No,1
2020,Kanyakumari,Murder,89,1.31,Low,Night,Rural Area,Stormy,11.75,14.43,Independence Day,573,83.5,No,1
2021,Virudhunagar,Theft,878,25.09,High,Evening,Industrial Zone,Sunny,9.57,22.58,Christmas,4607,69.86,No,1
2021,Tiruvarur,Theft,159,2.34,Low,Evening,Industrial Zone,Foggy,9.87,32.87,Pongal,7708,93.09,No,1
2021,Theni,Fraud,875,13.46,High,Evening,Residential Area,Cloudy,11.35,12.27,Christmas,14246,78.7,No,1
2020,Coimbatore,Burglary,448,40.73,Medium,Night,Commercial Area,Cloudy,6.79,11.97,Diwali,8879,65.44,No,1
2020,Madurai,Robbery,572,9.86,Medium,Afternoon,Urban Area,Stormy,9.84,17.88,No Event,12592,69.02,No,1
2020,Villupuram,Kidnapping,403,17.52,Medium,Morning,Residential Area,Rainy,10.92,31.1,Diwali,2196,69.81,No,1
2019,Cuddalore,Robbery,695,27.8,Medium,Morning,Highway,Stormy,6.46,27.86,Diwali,14282,92.37,No,1
2019,Karur,Murder,935,29.22,High,Evening,Urban Area,Cloudy,8.26,25.67,Pongal,8011,72.79,Yes,2
2019,Vellore,Robbery,217,2.75,Low,Afternoon,Residential Area,Sunny,7.45,32.26,Diwali,2227,94.89,No,1
2019,Namakkal,Robbery,906,56.62,High,Evening,Highway,Stormy,3.19,28.79,Christmas,6384,81.42,No,1
2019,Chennai,Fraud,1175,18.08,High,Morning,Highway,Foggy,5.24,27.76,Temple Festival,3655,81.26,No,1
2019,Pudukkottai,Domestic Violence,156,1.73,Low,Evening,Residential Area,Sunny,10.92,24.11,Pongal,2782,84.08,No,1
2019,Ramanathapuram,Theft,911,50.61,High,Morning,Industrial Zone,Stormy,6.28,15.86,Pongal,11828,91.47,No,1
2020,Salem,Kidnapping,1057,12.44,High,Evening,Rural Area,Rainy,11.18,11.09,Independence Day,13470,68.45,No,1
2021,Nilgiris,Murder,687,19.08,Medium,Evening,Industrial Zone,Stormy,11.92,12.65,Temple Festival,8579,92.28,No,1
2021,Kanyakumari,Domestic Violence,735,19.34,Medium,Afternoon,Residential Area,Foggy,8.41,18.82,Independence Day,12945,71.38,No,1
2019,Theni,Assault,582,7.46,Medium,Afternoon,Residential Area,Stormy,4.92,29,Temple Festival,11288,71.8,No,1
2020,Villupuram,Cyber Crime,737,7.84,Medium,Morning,Urban Area,Foggy,9.98,15.44,No Event,6413,86.29,No,1
2020,Nilgiris,Domestic Violence,264,5.08,Low,Evening,Industrial Zone,Cloudy,10.81,23.39,No Event,10623,78.21,No,1
2020,Coimbatore,Domestic Violence,1057,31.09,High,Night,Rural Area,Rainy,11.3,15.86,Temple Festival,3173,86.1,No,1
2020,Erode,Drug Offenses,115,3.97,Low,Afternoon,Industrial Zone,Rainy,5.36,25.49,Temple Festival,5000,68.35,No,1
2020,Vellore,Drug Offenses,842,29.03,High,Night,Highway,Foggy,11.8,12.74,No Event,14885,65.01,No,1
2021,Tirunelveli,Drug Offenses,172,3.51,Low,Evening,Residential Area,Cloudy,10.86,26.89,Pongal,10736,78.35,No,1
2020,Erode,Cyber Crime,89,2.34,Low,Night,Urban Area,Cloudy,8.73,25.27,Independence Day,12415,86.92,No,1
2020,Pudukkottai,Robbery,1148,22.51,High,Afternoon,Highway,Rainy,9.09,10.59,Diwali,13291,90.54,No,1
2019,Perambalur,Drug Offenses,671,6.85,Medium,Morning,Residential Area,Rainy,10.85,19.14,Christmas,1145,78.88,No,1
2020,Tiruvarur,Murder,976,42.43,High,Morning,Highway,Rainy,6.85,16.18,Independence Day,2609,73.95,No,1
2020,Dindigul,Murder,1186,33.89,High,Afternoon,Rural Area,Foggy,11.53,32.18,Pongal,11628,73.88,No,1
2019,Vellore,Cyber Crime,1025,10.25,High,Evening,Highway,Stormy,3.82,25.02,Temple Festival,9380,92.76,No,1
2021,Nilgiris,Burglary,472,12.1,Medium,Night,Residential Area,Stormy,11.07,11.97,Independence Day,4803,85.15,No,1
2020,Nilgiris,Fraud,347,4.23,Low,Evening,Commercial Area,Cloudy,8.14,19.61,Temple Festival,9304,83.01,No,1
2019,Salem,Kidnapping,298,7.84,Low,Afternoon,Rural Area,Sunny,6.12,19.13,Independence Day,6224,90.62,No,1
2020,Namakkal,Theft,860,61.43,High,Night,Urban Area,Rainy,8.84,13.47,Pongal,10031,90.33,Yes,1
2019,Madurai,Drug Offenses,473,8.6,Medium,Morning,Urban Area,Stormy,9.95,22.88,Temple Festival,9294,73.16,No,1
2020,Tiruchirappalli,Assault,539,33.69,Medium,Night,Residential Area,Stormy,10.18,15.82,No Event,14634,74.2,No,1
2019,Madurai,Burglary,234,12.32,Low,Afternoon,Commercial Area,Stormy,3.14,31.97,No Event,7935,83.05,No,1
2019,Villupuram,Domestic Violence,1028,11.82,High,Morning,Industrial Zone,Foggy,4.93,29.33,Diwali,7301,72.64,No,1
2019,Tiruchirappalli,Murder,828,12.36,High,Night,Urban Area,Stormy,8.09,12.73,No Event,10440,87.42,Yes,2
2019,Perambalur,Cyber Crime,1095,16.85,High,Night,Industrial Zone,Rainy,7.63,11.75,Temple Festival,9404,65.56,No,1
2020,Erode,Theft,932,31.07,High,Night,Highway,Sunny,10.13,21.54,Christmas,6479,76.62,No,1
2019,Nagapattinam,Fraud,922,15.63,High,Evening,Highway,Foggy,8.17,29.34,Diwali,4201,69.34,No,1
2021,Theni,Theft,671,13.98,Medium,Evening,Rural Area,Cloudy,10.02,12.13,Diwali,2734,73.54,No,1
2021,Dharmapuri,Burglary,164,13.67,Low,Afternoon,Commercial Area,Foggy,6.88,27.8,No Event,8879,82.71,No,1
2021,Pudukkottai,Kidnapping,503,17.34,Medium,Afternoon,Rural Area,Stormy,8.58,14.37,Christmas,10652,91.63,No,1
2021,Namakkal,Fraud,178,6.59,Low,Night,Residential Area,Foggy,3.65,20.01,Independence Day,12561,84.84,No,1
2020,Sivagangai,Fraud,477,4.97,Medium,Morning,Residential Area,Stormy,3.89,29.26,Christmas,4919,65.43,No,1
2020,Pudukkottai,Murder,617,8.34,Medium,Night,Commercial Area,Stormy,3.56,28.71,Christmas,4666,92.99,No,1
2019,Salem,Murder,272,3.63,Low,Morning,Rural Area,Rainy,4.57,26.52,Temple Festival,2464,86.2,No,1
2019,Dharmapuri,Fraud,699,38.83,Medium,Morning,Urban Area,Sunny,10.35,13.32,Pongal,4262,92.25,No,1
2021,Nilgiris,Murder,313,5.49,Low,Evening,Residential Area,Rainy,3.44,34.8,Christmas,11511,77.23,No,1
2020,Nagapattinam,Theft,979,11.8,High,Morning,Commercial Area,Rainy,8.83,15.6,Diwali,5869,82.94,No,1
2020,Thanjavur,Drug Offenses,833,28.72,High,Morning,Industrial Zone,Stormy,10.78,15.91,Pongal,3913,68.65,No,1
2020,Salem,Theft,967,15.85,High,Evening,Rural Area,Stormy,11.19,29.49,Christmas,9553,73.83,No,1
2020,Tiruvannamalai,Robbery,1183,18.48,High,Night,Highway,Stormy,3.39,34.32,Pongal,1477,80.37,No,1
2020,Salem,Fraud,993,90.27,High,Morning,Rural Area,Stormy,3.42,23.69,Independence Day,11058,93.39,No,1
2019,Cuddalore,Drug Offenses,57,0.85,Low,Night,Urban Area,Sunny,10.28,28.21,Independence Day,8856,83.3,No,1
2021,Dindigul,Cyber Crime,54,0.55,Low,Morning,Highway,Foggy,10.88,15.66,Pongal,14791,68.4,No,1
2021,Vellore,Domestic Violence,1080,12.41,High,Evening,Commercial Area,Rainy,9.93,32.35,Diwali,7111,65.95,Yes,4
2021,Coimbatore,Kidnapping,798,10.1,Medium,Morning,Highway,Rainy,8.03,11.85,Independence Day,3405,70.29,No,1
2021,Tiruchirappalli,Murder,622,9.15,Medium,Night,Residential Area,Cloudy,10.4,21.53,No Event,10326,79.09,No,1
2021,Dharmapuri,Fraud,337,5.18,Low,Night,Highway,Cloudy,5.28,15.37,Diwali,8022,92.32,No,1
2019,Erode,Fraud,777,15.86,Medium,Night,Rural Area,Rainy,4.81,23.39,Christmas,9751,92.55,No,1
2020,Ariyalur,Cyber Crime,1186,18.53,High,Afternoon,Highway,Cloudy,3.71,34.97,Independence Day,7713,84.52,No,1
2021,Perambalur,Drug Offenses,305,17.94,Low,Night,Rural Area,Sunny,10.28,22.97,No Event,10608,87.78,No,1
2019,Cuddalore,Theft,165,2.17,Low,Afternoon,Commercial Area,Sunny,5.26,31.86,Independence Day,5779,84.99,No,1
2020,Coimbatore,Drug Offenses,1032,43,High,Afternoon,Rural Area,Foggy,8.87,12.34,Christmas,1316,84.59,No,1
2020,Chennai,Fraud,326,7.09,Low,Afternoon,Industrial Zone,Sunny,3.65,17.16,Independence Day,12430,73.89,No,1
2020,Krishnagiri,Kidnapping,1155,17.5,High,Afternoon,Industrial Zone,Sunny,9.41,25.12,No Event,7890,79.64,No,1
2019,Tiruchirappalli,Fraud,344,6.37,Low,Morning,Commercial Area,Sunny,6.38,19.28,Temple Festival,4989,67.16,No,1
2019,Virudhunagar,Robbery,559,9.47,Medium,Morning,Residential Area,Stormy,11.56,31.96,Christmas,14472,67.4,No,1
2020,Cuddalore,Burglary,626,8.24,Medium,Afternoon,Urban Area,Stormy,7.05,14.46,Independence Day,14994,78.74,No,1
2019,Dindigul,Kidnapping,1059,17.95,High,Morning,Rural Area,Stormy,10.12,27.62,Pongal,6616,65.41,No,1
2020,Theni,Cyber Crime,504,20.16,Medium,Afternoon,Commercial Area,Foggy,3.36,28.8,Independence Day,14659,86.17,No,1
2021,Tiruchirappalli,Drug Offenses,912,23.38,High,Night,Residential Area,Cloudy,3.87,16.73,Diwali,11786,89.54,No,1
2021,Ramanathapuram,Burglary,446,11.74,Medium,Morning,Commercial Area,Foggy,11.63,30.89,Christmas,7383,72.51,No,1
2021,Villupuram,Murder,793,18.88,Medium,Morning,Residential Area,Foggy,11.99,23.73,No Event,14045,83.63,No,1
2021,Villupuram,Robbery,1041,28.14,High,Morning,Highway,Stormy,11.4,23.49,Christmas,7690,74.47,No,1
2019,Erode,Assault,1043,13.72,High,Afternoon,Commercial Area,Sunny,6.98,26.94,Diwali,13348,74.33,No,1
2019,Thanjavur,Drug Offenses,1054,15.5,High,Morning,Commercial Area,Sunny,8.15,14.89,Christmas,8360,73.9,No,1
2021,Perambalur,Drug Offenses,609,6.92,Medium,Morning,Industrial Zone,Foggy,11.84,29.38,Temple Festival,8357,86.49,No,1
2020,Cuddalore,Murder,867,9.03,High,Night,Rural Area,Cloudy,8.44,27.87,Independence Day,10286,89.64,No,1
2019,Dharmapuri,Assault,1012,11.5,High,Evening,Commercial Area,Sunny,6.6,27.04,No Event,12685,87.86,Yes,3
2021,Tiruvarur,Theft,1009,13.82,High,Afternoon,Industrial Zone,Cloudy,9.63,19.21,No Event,6195,74.42,No,1
2020,Perambalur,Robbery,285,3.56,Low,Night,Urban Area,Foggy,6.44,32.75,No Event,2032,84.93,No,1
2019,Erode,Drug Offenses,611,11.98,Medium,Evening,Highway,Stormy,8.34,21.91,Pongal,6515,88.72,No,1
2019,Thanjavur,Robbery,58,0.84,Low,Evening,Residential Area,Cloudy,11.98,24.21,No Event,5686,65.81,No,1
2019,Kanyakumari,Assault,497,9.94,Medium,Morning,Urban Area,Sunny,8.27,28.08,No Event,3090,65.13,No,1
2020,Karur,Drug Offenses,813,36.95,High,Morning,Rural Area,Cloudy,11.73,25.75,Christmas,11786,77.48,No,1
2021,Tiruchirappalli,Murder,360,10.91,Low,Afternoon,Commercial Area,Rainy,9.49,32.76,Diwali,2653,65.87,No,1
2021,Nagapattinam,Fraud,133,13.3,Low,Evening,Rural Area,Sunny,8.52,16.61,Pongal,2921,84.55,No,1
2019,Krishnagiri,Fraud,508,6.05,Medium,Evening,Rural Area,Cloudy,7.94,13.17,No Event,11527,75.89,No,1
2020,Nagapattinam,Drug Offenses,664,7.55,Medium,Night,Rural Area,Foggy,7.53,16.37,Diwali,12938,80.84,No,1
2021,Sivagangai,Cyber Crime,830,25.15,High,Night,Rural Area,Stormy,11.24,30.25,No Event,4934,87.07,No,1
2021,Krishnagiri,Assault,629,6.99,Medium,Evening,Rural Area,Cloudy,5.85,21.37,Diwali,4159,86.58,No,1
2019,Ramanathapuram,Drug Offenses,612,11.55,Medium,Afternoon,Rural Area,Stormy,5.94,30.26,No Event,6830,76.38,No,1
2019,Chennai,Theft,282,5.22,Low,Night,Rural Area,Foggy,5.25,14.7,Diwali,2757,76.91,No,1
2019,Virudhunagar,Kidnapping,204,10.2,Low,Afternoon,Residential Area,Stormy,11.41,29.84,Independence Day,10645,82.91,No,1
2019,Coimbatore,Robbery,498,11.32,Medium,Afternoon,Urban Area,Rainy,3.85,23.72,Temple Festival,8667,93.96,No,1
2019,Perambalur,Domestic Violence,1038,11.8,High,Evening,Industrial Zone,Cloudy,9.07,22.27,Pongal,4197,91.66,No,1
2021,Tiruvannamalai,Fraud,670,19.71,Medium,Evening,Residential Area,Sunny,4.26,22.19,Christmas,7949,85.54,No,1
2019,Thanjavur,Domestic Violence,864,10.29,High,Evening,Commercial Area,Cloudy,5.97,25.06,Independence Day,10842,82.46,Yes,1
2020,Madurai,Murder,62,4.43,Low,Night,Industrial Zone,Sunny,7.97,31.68,No Event,12947,71.69,No,1
2019,Virudhunagar,Kidnapping,992,11.4,High,Night,Residential Area,Foggy,9.99,25.52,Pongal,1565,88.12,No,1
2020,Perambalur,Robbery,798,19.95,Medium,Evening,Rural Area,Foggy,8.06,13.41,Independence Day,12405,91.05,No,1
2020,Thanjavur,Assault,1199,74.94,High,Morning,Residential Area,Stormy,7.2,31.08,Christmas,7443,74.47,No,1
2019,Erode,Drug Offenses,132,2.36,Low,Evening,Commercial Area,Rainy,7.29,17.18,Christmas,3178,90.46,No,1
2019,Tirunelveli,Burglary,1034,24.05,High,Evening,Rural Area,Cloudy,4.29,18.97,No Event,5277,72.37,No,1
2020,Cuddalore,Murder,1061,11.17,High,Afternoon,Highway,Foggy,9.43,17.92,Independence Day,3572,70.65,No,1
2019,Perambalur,Fraud,671,10.65,Medium,Morning,Urban Area,Cloudy,11.72,30.19,Temple Festival,10706,81.98,No,1
2020,Coimbatore,Cyber Crime,970,12.6,High,Morning,Commercial Area,Rainy,7.38,12.48,Christmas,1245,93.33,No,1
2021,Villupuram,Cyber Crime,331,3.48,Low,Morning,Residential Area,Stormy,11.61,11.13,No Event,12467,71.97,No,1
2019,Kanyakumari,Robbery,816,8.41,High,Evening,Highway,Foggy,4.94,16.86,Temple Festival,12727,94.07,No,1
2019,Perambalur,Murder,74,0.94,Low,Night,Residential Area,Stormy,7.63,16.68,Pongal,11521,65.22,No,1
2021,Ramanathapuram,Kidnapping,128,8,Low,Morning,Urban Area,Stormy,8.75,15.19,Christmas,4035,78.68,No,1
2019,Krishnagiri,Fraud,83,1.89,Low,Morning,Industrial Zone,Sunny,9.96,14.1,Pongal,9637,86.36,No,1
2020,Nagapattinam,Murder,590,7.11,Medium,Afternoon,Highway,Stormy,6.58,33.4,Diwali,599,75.45,No,1
2019,Coimbatore,Robbery,108,10.8,Low,Afternoon,Urban Area,Rainy,11.98,29.01,Christmas,1473,81.77,No,1
2020,Ariyalur,Assault,967,33.34,High,Morning,Industrial Zone,Cloudy,7.21,24.13,Christmas,3695,84.41,No,1
2020,Krishnagiri,Drug Offenses,667,19.62,Medium,Night,Industrial Zone,Sunny,10.28,11.73,Diwali,730,69.11,No,1
2021,Nilgiris,Drug Offenses,582,36.38,Medium,Morning,Rural Area,Cloudy,7.2,20.37,Pongal,6189,89.33,No,1
2020,Virudhunagar,Assault,264,2.9,Low,Morning,Rural Area,Sunny,7.49,16.72,Christmas,5591,85.53,No,1
2020,Dharmapuri,Assault,655,38.53,Medium,Evening,Highway,Stormy,7.35,10.3,Diwali,12902,74.48,No,1
2020,Perambalur,Burglary,63,1.05,Low,Afternoon,Industrial Zone,Rainy,9.76,12.97,Pongal,14115,80.5,No,1
2019,Madurai,Drug Offenses,660,22,Medium,Evening,Rural Area,Rainy,11.14,21.63,Diwali,11440,87.59,No,1
2021,Krishnagiri,Burglary,1108,85.23,High,Morning,Urban Area,Foggy,8.7,14.8,No Event,9391,68.68,No,1
2021,Coimbatore,Fraud,428,21.4,Medium,Night,Commercial Area,Sunny,11.45,14.16,Diwali,13916,75.99,No,1
2019,Cuddalore,Assault,1072,31.53,High,Night,Residential Area,Cloudy,9.53,24.36,Temple Festival,1598,78.92,No,1
2020,Ariyalur,Murder,1015,15.15,High,Evening,Residential Area,Sunny,4.97,20.48,No Event,7434,73.1,No,1
2019,Nagapattinam,Drug Offenses,234,2.46,Low,Night,Industrial Zone,Cloudy,9.29,28.45,No Event,5756,72.2,No,1
2020,Tiruvarur,Kidnapping,722,11.46,Medium,Afternoon,Rural Area,Cloudy,3.6,31.18,Independence Day,8202,66.25,No,1
2021,Namakkal,Assault,650,16.67,Medium,Morning,Commercial Area,Cloudy,10.33,31.3,Christmas,4135,90.25,No,1
2021,Ariyalur,Theft,807,9.84,High,Afternoon,Rural Area,Sunny,7.84,21.21,Temple Festival,7178,87.73,No,1
2021,Villupuram,Assault,1119,14.72,High,Evening,Residential Area,Cloudy,3.48,19.05,Pongal,3367,92.44,No,1
2021,Vellore,Assault,867,13.55,High,Afternoon,Residential Area,Rainy,4.73,25.1,Diwali,5620,77.23,No,1
2019,Dindigul,Robbery,886,55.38,High,Afternoon,Commercial Area,Stormy,4.96,25.12,Pongal,9101,79.78,No,1
2021,Nilgiris,Theft,368,8.36,Low,Night,Commercial Area,Foggy,7.04,16.24,Christmas,3398,70.98,No,1
2019,Dindigul,Murder,360,5.81,Low,Afternoon,Rural Area,Rainy,3.07,12.14,Temple Festival,5988,94.56,No,1
2020,Tirunelveli,Burglary,1002,27.83,High,Night,Industrial Zone,Rainy,5.3,34.12,Temple Festival,10589,75.3,No,1
2021,Coimbatore,Robbery,703,9.37,Medium,Night,Commercial Area,Foggy,5.63,26.62,Pongal,6786,72.54,No,1
2019,Thanjavur,Assault,351,7.16,Low,Night,Highway,Cloudy,4.02,14.07,No Event,2783,80.14,No,1
2020,Dharmapuri,Kidnapping,1187,15.03,High,Morning,Urban Area,Stormy,10.01,25.81,No Event,4401,88.53,No,1
2020,Villupuram,Murder,1195,59.75,High,Evening,Commercial Area,Rainy,10.45,30.38,Independence Day,11348,88.9,Yes,2
2021,Coimbatore,Theft,459,6.46,Medium,Morning,Highway,Sunny,4.35,10.52,Pongal,3938,65.65,No,1
2020,Dindigul,Domestic Violence,503,12.27,Medium,Evening,Commercial Area,Cloudy,6.9,24.15,No Event,6636,85.95,No,1
2020,Theni,Cyber Crime,1180,31.89,High,Afternoon,Industrial Zone,Rainy,5.9,28.93,Christmas,2110,67.84,No,1
2020,Tiruvannamalai,Kidnapping,171,14.25,Low,Morning,Commercial Area,Sunny,7.48,23.51,Pongal,3135,87.7,No,1
2019,Dindigul,Domestic Violence,233,21.18,Low,Evening,Residential Area,Sunny,10.85,30.6,Independence Day,5741,75.43,No,1
2019,Tirunelveli,Theft,651,29.59,Medium,Evening,Industrial Zone,Cloudy,9.72,12.47,Diwali,10346,81.49,No,1
2019,Krishnagiri,Kidnapping,210,4.29,Low,Morning,Urban Area,Sunny,5.8,27.11,Pongal,6687,78.73,No,1
2021,Pudukkottai,Drug Offenses,672,7.81,Medium,Morning,Rural Area,Stormy,5.35,10.16,Independence Day,1626,91.73,No,1
2019,Madurai,Burglary,333,6.94,Low,Night,Commercial Area,Cloudy,4.09,27.8,Temple Festival,2382,67.04,No,1
2020,Madurai,Fraud,948,11.02,High,Afternoon,Urban Area,Rainy,11.75,29.47,Temple Festival,14988,82.48,No,1
2021,Salem,Cyber Crime,399,23.47,Low,Afternoon,Residential Area,Foggy,4.66,15.18,Diwali,3626,72.64,No,1
2019,Kanyakumari,Drug Offenses,746,8.67,Medium,Afternoon,Residential Area,Rainy,6.5,25.71,Diwali,9735,88.75,No,1
2020,Madurai,Murder,967,11.38,High,Night,Urban Area,Rainy,9.62,15.36,Independence Day,1450,86.91,Yes,4
2020,Vellore,Fraud,375,6.05,Low,Morning,Highway,Rainy,8.89,29.34,Christmas,11614,84.85,No,1
2021,Madurai,Theft,646,8.18,Medium,Night,Commercial Area,Foggy,10.1,13.94,Diwali,6684,93.03,No,1
